===== Hyperparameters =====
ckpt: None
train_npz: datasets/initial_competition/predict_data/predict_data_seq_len_200/train_resplit.npz
val_npz: datasets/initial_competition/predict_data/predict_data_seq_len_200/val_resplit.npz
test_npz: datasets/initial_competition/Esun_test/Esun_test_seq_200.npz
output_dir: checkpoints/rnn/
sample_size: 0
seq_len: 200
soft_label: 0.0
lr: 1e-05
seed: 42
epochs: 100
num_layers: 3
batch_size: 16
true_weight: 1.0
cluster_name: None
model: rnn
predict_data: True
use_cluster: False
CLS_token: False
without_channel_currency_emb: True
one_token_per_day: False
rnn_hidden: 128
rnn_layers: 2
bidirectional: True
Device: cuda
===========================

Labels: ['normal', 'alert']
======================================== Model ======================================== 
RNNSequenceClassifier(
  (rnn): RNN(8, 128, num_layers=2, batch_first=True, dropout=0.1, bidirectional=True)
  (fc_out): Sequential(
    (0): Linear(in_features=256, out_features=128, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.1, inplace=False)
    (3): Linear(in_features=128, out_features=1, bias=True)
  )
)
 ======================================================================================= 

Epoch 1: Train Acc=82.72%, Val Acc=81.97%,Train F1=0.000, Val F1=0.000, Loss=0.5774
Epoch 2: Train Acc=87.07%, Val Acc=85.71%,Train F1=0.557, Val F1=0.512, Loss=0.3874
Epoch 3: Train Acc=87.89%, Val Acc=86.56%,Train F1=0.604, Val F1=0.568, Loss=0.3269
Epoch 4: Train Acc=88.36%, Val Acc=87.07%,Train F1=0.621, Val F1=0.582, Loss=0.3112
Epoch 5: Train Acc=88.91%, Val Acc=87.59%,Train F1=0.639, Val F1=0.601, Loss=0.2993
Epoch 6: Train Acc=88.61%, Val Acc=87.41%,Train F1=0.671, Val F1=0.648, Loss=0.2887
Epoch 7: Train Acc=89.68%, Val Acc=88.78%,Train F1=0.666, Val F1=0.649, Loss=0.2787
Epoch 8: Train Acc=90.20%, Val Acc=89.12%,Train F1=0.691, Val F1=0.673, Loss=0.2679
Epoch 9: Train Acc=90.74%, Val Acc=89.46%,Train F1=0.704, Val F1=0.684, Loss=0.2608
Epoch 10: Train Acc=91.01%, Val Acc=89.97%,Train F1=0.721, Val F1=0.709, Loss=0.2527
Epoch 11: Train Acc=91.42%, Val Acc=89.97%,Train F1=0.729, Val F1=0.706, Loss=0.2458
Epoch 12: Train Acc=91.59%, Val Acc=89.80%,Train F1=0.744, Val F1=0.712, Loss=0.2425
Epoch 13: Train Acc=91.59%, Val Acc=90.65%,Train F1=0.737, Val F1=0.724, Loss=0.2399
Epoch 14: Train Acc=91.88%, Val Acc=90.31%,Train F1=0.753, Val F1=0.727, Loss=0.2351
Epoch 15: Train Acc=91.86%, Val Acc=90.14%,Train F1=0.755, Val F1=0.726, Loss=0.2312
Epoch 16: Train Acc=91.88%, Val Acc=90.82%,Train F1=0.753, Val F1=0.738, Loss=0.2295
Epoch 17: Train Acc=92.30%, Val Acc=90.82%,Train F1=0.762, Val F1=0.733, Loss=0.2264
Epoch 18: Train Acc=91.86%, Val Acc=90.99%,Train F1=0.758, Val F1=0.749, Loss=0.2228
Epoch 19: Train Acc=92.24%, Val Acc=91.16%,Train F1=0.757, Val F1=0.737, Loss=0.2211
Epoch 20: Train Acc=92.32%, Val Acc=91.33%,Train F1=0.764, Val F1=0.749, Loss=0.2206
Epoch 21: Train Acc=92.15%, Val Acc=91.50%,Train F1=0.763, Val F1=0.762, Loss=0.2166
Epoch 22: Train Acc=92.17%, Val Acc=91.50%,Train F1=0.765, Val F1=0.762, Loss=0.2160
Epoch 23: Train Acc=92.38%, Val Acc=90.99%,Train F1=0.776, Val F1=0.753, Loss=0.2149
Epoch 24: Train Acc=92.49%, Val Acc=91.67%,Train F1=0.769, Val F1=0.759, Loss=0.2122
Epoch 25: Train Acc=92.26%, Val Acc=90.99%,Train F1=0.771, Val F1=0.751, Loss=0.2093
Epoch 26: Train Acc=92.47%, Val Acc=91.16%,Train F1=0.779, Val F1=0.757, Loss=0.2096
Epoch 27: Train Acc=92.57%, Val Acc=91.50%,Train F1=0.778, Val F1=0.766, Loss=0.2068
Epoch 28: Train Acc=91.84%, Val Acc=90.48%,Train F1=0.772, Val F1=0.761, Loss=0.2049
Epoch 29: Train Acc=92.69%, Val Acc=91.33%,Train F1=0.778, Val F1=0.756, Loss=0.2069
Epoch 30: Train Acc=92.92%, Val Acc=91.84%,Train F1=0.780, Val F1=0.767, Loss=0.2053
Epoch 31: Train Acc=92.57%, Val Acc=91.67%,Train F1=0.779, Val F1=0.772, Loss=0.2005
Epoch 32: Train Acc=92.82%, Val Acc=91.67%,Train F1=0.789, Val F1=0.774, Loss=0.2013
Epoch 33: Train Acc=92.80%, Val Acc=91.67%,Train F1=0.777, Val F1=0.763, Loss=0.1991
Epoch 34: Train Acc=92.90%, Val Acc=92.35%,Train F1=0.786, Val F1=0.789, Loss=0.1996
Epoch 35: Train Acc=92.17%, Val Acc=91.33%,Train F1=0.780, Val F1=0.775, Loss=0.1976
Epoch 36: Train Acc=92.98%, Val Acc=92.01%,Train F1=0.780, Val F1=0.766, Loss=0.1960
Epoch 37: Train Acc=92.69%, Val Acc=91.67%,Train F1=0.787, Val F1=0.774, Loss=0.1953
Epoch 38: Train Acc=92.98%, Val Acc=92.35%,Train F1=0.788, Val F1=0.787, Loss=0.1964
Epoch 39: Train Acc=92.71%, Val Acc=91.67%,Train F1=0.782, Val F1=0.763, Loss=0.1932
